event_id,timestamp_ns,detector_id,channel_id,energy_deposit_keV,hit_multiplicity,signal_amplitude_mV,noise_floor_mV,temperature_K,run_status
133,1258908,3,11,14.06,1,18.5885,5.0903,292.9789,active
134,1263040,4,5,25.6446,1,34.1042,7.3607,292.997,active
135,1275524,5,0,4.2931,0,6.6551,2.7365,292.9262,active
136,1286558,8,11,107.9283,2,112.148,7.2049,292.9483,active
137,1287849,7,13,0.6466,0,7.4465,6.7086,292.999,active
138,1302070,4,11,19.6433,1,19.7777,2.5668,292.993,active
139,1318359,6,10,24.8878,1,29.7323,7.5654,293.0009,active
140,1331352,2,11,112.1413,1,103.6127,6.0334,292.949,active
141,1338516,7,4,44.716,2,55.5014,5.8039,292.9851,active
142,1365425,5,1,45.593,3,52.933,6.9867,293.0232,active
143,1369814,5,10,76.5502,2,70.9752,5.0044,293.0839,active
144,1387725,7,15,127.7509,5,119.2013,2.6549,293.0702,active
145,1417309,6,2,6.8293,1,13.6195,6.1656,292.9778,active
146,1424584,1,1,0.3426,0,6.3337,5.5259,293.0645,active
147,1428711,3,11,23.9284,3,27.4554,5.0903,293.0679,active
148,1437005,2,6,9.038,1,17.0535,6.9578,292.9641,active
149,1438689,6,14,24.9734,2,29.0906,5.9772,292.9657,active
150,1450603,1,7,25.0898,1,29.4258,2.1368,292.9872,active
151,1458774,2,8,2.4719,0,6.108,2.8415,293.0074,active
152,1461792,5,0,12.3247,1,14.0376,2.7365,293.0454,active
153,1471672,6,15,2.7302,0,9.8071,7.7337,293.1287,active
154,1473014,5,5,28.8489,1,35.8932,7.2474,293.1324,active
155,1473279,7,7,27.6352,2,35.4337,4.5147,293.0651,active
156,1493563,8,10,7.7642,1,12.7153,5.9116,292.971,active
157,1493918,2,13,7.7732,1,14.5078,5.9565,292.9349,active
158,1496954,8,12,1.6815,0,6.5914,4.7234,292.9333,active
159,1516061,5,12,22.2388,3,22.4923,2.0836,292.9568,active
160,1543110,6,1,0.9665,0,5.7373,5.038,292.9267,active
161,1544770,1,1,1.9682,0,8.2254,5.5259,292.9686,active
162,1546422,5,13,1.2686,0,5.0211,3.3779,292.8985,active
163,1579898,6,14,82.1086,1,82.7149,5.9772,292.9123,active
164,1580195,5,9,4.7125,0,13.6929,7.831,292.9604,active
165,1595720,1,14,18.31,1,26.122,7.627,292.856,active
166,1631876,5,5,2.6502,0,9.5574,7.2474,292.8169,active
167,1637326,8,5,114.1611,3,129.9137,7.2064,292.8331,active
168,1641840,6,2,17.8403,3,25.3629,6.1656,292.7473,active
169,1643828,2,12,4.1307,0,7.8227,3.6874,292.7665,active
170,1667888,8,10,15.0894,1,19.6847,5.9116,292.6906,active
171,1673514,8,3,91.2395,5,106.6632,5.1846,292.7277,active
172,1716921,2,15,50.1688,2,63.2141,6.6119,292.7251,active
173,1728514,7,0,18.6437,1,21.1527,3.7187,292.6976,active
174,1737786,4,12,10.5009,1,17.9304,6.4807,292.7697,active
175,1759878,5,3,128.7577,3,123.6164,3.0756,292.766,active
176,1773786,4,12,3.0763,0,9.4022,6.4807,292.7415,active
177,1779172,7,7,20.7968,1,28.5402,4.5147,292.6798,active
178,1784932,8,3,2.7316,0,8.2274,5.1846,292.6202,active
179,1795119,7,0,6.3512,1,9.2176,3.7187,292.6364,active
180,1798475,8,9,12.4033,1,17.2572,4.5553,292.6929,active
181,1808303,8,2,4.8853,0,7.7348,3.3958,292.7184,active
182,1832122,1,7,1.1252,0,4.0134,2.1368,292.6634,active
183,1835523,3,15,18.3821,1,20.7994,2.2695,292.6403,active
184,1837618,6,14,4.0731,0,8.9027,5.9772,292.631,active
185,1845133,5,7,2.6384,0,6.594,3.8619,292.6756,active
186,1850245,1,11,56.1065,1,66.6308,2.4964,292.6837,active
187,1870960,1,13,19.5194,1,25.8067,4.9442,292.715,active
188,1883331,5,9,20.5694,1,26.7799,7.831,292.7743,active
189,1887416,5,3,24.6028,2,25.9197,3.0756,292.8315,active
190,1890602,2,12,124.1301,2,115.1626,3.6874,292.8759,active
191,1896559,2,1,9.8485,1,11.7792,3.6019,292.9764,active
192,1905838,2,8,37.8973,2,43.0704,2.8415,293.0224,active
193,1915942,5,12,12.246,1,14.072,2.0836,293.0295,active
194,1929052,1,9,42.8553,1,47.6088,4.8938,293.0582,active
195,1932500,5,5,2.6199,0,10.1005,7.2474,292.9939,active
196,1936948,4,6,133.1711,4,146.9788,5.1132,292.9875,active
197,1939202,4,7,54.7905,1,63.531,3.8956,293.0471,active
198,1939832,6,11,4.9669,0,9.3392,4.3855,292.9758,active
199,1951526,5,15,8.559,1,15.171,6.066,292.9947,active
200,1980703,6,12,1.1452,0,4.3423,3.8057,293.0115,active
201,1986029,7,5,78.6719,3,85.7223,2.6354,293.0105,active
202,1993305,8,1,12.0545,1,18.8916,6.7809,293.0073,active
203,2004800,7,7,19.8357,1,26.6402,4.5147,292.9784,active
204,2030775,5,13,2.8333,0,5.6594,3.3779,293.0272,active
205,2031571,4,10,72.3292,2,68.9499,4.2419,292.9998,active
206,2035317,2,5,5.4709,1,7.855,2.1297,292.9696,active
207,2048042,5,1,27.9549,2,34.9263,6.9867,292.9533,active
208,2071038,2,4,3.2049,0,8.4627,4.6335,292.8394,active
209,2079601,8,11,21.2727,1,27.7389,7.2049,292.825,active
210,2084179,7,10,4.5471,0,12.8945,7.5981,292.8323,active
211,2097116,1,7,34.0763,3,39.2649,2.1368,292.8466,active
212,2103699,7,5,26.5901,2,31.1682,2.6354,292.7546,active
213,2106483,1,2,6.5309,1,9.8977,3.0236,292.6532,active
214,2123942,6,15,6.3849,2,14.5654,7.7337,292.681,active
215,2137638,1,6,14.4536,2,21.6419,5.5455,292.7603,active
216,2141037,4,12,14.3411,1,21.4423,6.4807,292.885,active
217,2152391,6,7,4.4311,0,10.9377,6.4339,292.9909,active
218,2162059,6,9,29.2785,1,31.6981,2.7425,292.9686,active
219,2162199,4,10,21.8879,1,23.2693,4.2419,293.002,active
220,2165029,8,5,9.6762,1,17.8387,7.2064,292.9465,active
221,2167158,7,14,8.4714,1,10.9682,2.107,293.0617,active
222,2169381,2,7,7.2619,1,15.7663,7.377,293.0329,active
223,2172072,6,12,44.0101,2,47.385,3.8057,293.0288,active
224,2190643,6,14,4.3317,0,11.3846,5.9772,292.9837,active
225,2195453,3,6,5.1815,1,11.2175,6.9787,292.9352,active
226,2203324,6,3,1.0987,0,6.5111,5.4867,292.9812,active
227,2221504,8,15,41.9847,2,43.1429,6.4761,293.0059,active
228,2235213,7,12,122.8382,4,111.8082,4.8043,292.9694,active
229,2237128,7,12,21.8573,2,24.6074,4.8043,292.952,active
230,2242856,6,15,15.4987,1,23.6633,7.7337,292.9963,active
231,2277628,3,0,13.3842,1,15.59,2.6464,293.078,active
232,2283123,7,15,114.8211,5,106.3602,2.6549,293.1116,active
233,2288024,3,1,5.8343,1,13.9338,7.4961,293.0742,active
234,2302744,5,2,8.3685,1,11.2762,2.9197,293.139,active
235,2314184,3,3,9.351,1,10.5214,2.2245,293.1575,active
236,2316403,3,1,13.1628,1,20.4508,7.4961,293.237,active
237,2323793,2,1,11.7642,2,13.5361,3.6019,293.2387,active
238,2348451,8,2,13.7138,3,15.7586,3.3958,293.3003,active
239,2360283,2,7,2.1698,0,9.3529,7.377,293.282,active
240,2372974,1,5,2.1757,0,6.886,4.0812,293.2897,active
241,2377058,8,5,17.4824,1,26.0739,7.2064,293.3235,active
242,2391548,5,2,114.6951,6,120.2785,2.9197,293.3116,active
243,2403011,4,15,108.7368,2,121.1567,3.4458,293.3152,active
244,2409749,6,5,26.6347,3,30.1866,6.8247,293.2578,active
245,2440809,4,7,14.6986,1,19.9392,3.8956,293.3707,active
246,2454069,2,2,11.9213,1,17.7954,3.9894,293.3065,active
247,2497369,6,3,10.5437,1,15.6367,5.4867,293.3142,active
248,2503884,2,3,20.399,2,25.8458,5.124,293.3004,active
249,2509621,5,15,22.8204,1,30.3674,6.066,293.2591,active
250,2524244,8,2,1.0233,0,5.0152,3.3958,293.2641,active
251,2528345,8,8,0.9076,0,4.8376,4.2451,293.1756,active
252,2530842,3,8,2.2938,0,6.532,3.9028,293.099,active
253,2531602,7,1,4.4071,0,11.9018,7.5489,293.1575,active
254,2538234,5,5,17.9498,1,24.7193,7.2474,293.1212,active
255,2538334,4,1,5.5353,1,13.0352,7.9543,293.07,active
256,2543045,2,2,9.1403,1,13.7168,3.9894,292.9742,active
257,2544418,4,10,12.5551,1,14.4424,4.2419,292.9583,active
258,2550123,6,9,2.5982,0,5.5439,2.7425,293.0428,active
259,2552957,8,7,135.1359,3,144.9072,4.4754,293.0755,active
260,2566333,1,3,44.1787,3,54.7486,7.5507,293.1115,active
261,2567365,6,9,12.2733,1,15.5416,2.7425,293.0561,active
262,2598358,7,14,10.353,1,12.5978,2.107,292.994,active
263,2599240,8,13,43.8757,3,47.033,3.487,292.9503,active
264,2616739,4,2,42.9388,3,46.5072,7.3501,292.9833,active
265,2617215,1,10,1.4073,0,8.2545,6.6964,292.9969,active
266,2618158,3,3,23.9263,1,23.829,2.2245,292.9619,active
267,2623331,7,13,2.3921,0,9.1926,6.7086,292.9981,active
268,2625924,8,7,8.9454,1,13.841,4.4754,293.0437,active
269,2627379,6,11,5.7539,1,10.6059,4.3855,293.067,active
270,2628372,1,8,25.2256,2,30.4074,7.7514,293.0756,active
271,2650969,1,10,121.3408,1,123.4332,6.6964,293.0854,active
272,2659570,4,14,1.8411,0,9.6773,7.6209,293.0378,active
273,2665076,5,2,13.7853,3,16.7927,2.9197,293.1354,active
274,2670522,1,14,0.191,0,8.185,7.627,293.0914,active
275,2687252,6,7,23.8839,3,29.8508,6.4339,293.0831,active
276,2737164,5,2,27.17,1,30.538,2.9197,292.9704,active
277,2749642,1,6,32.6608,1,41.0596,5.5455,293.0413,active
278,2757287,1,0,6.7544,1,10.9907,2.6204,293.0691,active
279,2765850,4,8,69.592,1,75.4205,6.6321,293.0678,active
280,2769777,6,7,7.964,1,14.4203,6.4339,293.0864,active
281,2778574,7,6,61.7155,3,60.3915,2.842,293.1204,active
282,2788652,4,7,3.9266,0,7.8583,3.8956,293.1267,active
283,2790788,3,9,4.243,0,13.0959,7.7174,293.0922,active
284,2798853,8,13,139.0774,6,142.6041,3.487,293.1569,active
285,2810409,4,6,104.6648,3,116.2598,5.1132,293.1512,active
286,2826530,3,0,3.7946,0,5.9454,2.6464,293.1412,active
287,2835646,4,8,2.1465,0,8.7441,6.6321,293.0798,active
288,2836660,1,15,17.7301,1,21.3957,5.4304,293.1353,active
289,2837432,3,6,112.1338,2,109.4688,6.9787,293.1439,active
290,2839006,5,1,32.571,2,40.2802,6.9867,293.1469,active
291,2841415,8,14,38.6876,2,39.6962,3.42,293.0188,active
292,2854399,6,6,120.2391,2,134.5673,6.2924,292.9939,active
293,2865055,7,5,28.3325,3,32.3727,2.6354,292.9904,active
294,2870124,5,4,3.5901,0,8.9099,5.5963,293.0118,active
295,2881559,1,11,10.2466,1,14.082,2.4964,293.0207,active
296,2886495,4,2,28.3123,1,33.1998,7.3501,293.0693,active
297,2907276,8,9,4.2682,0,8.4831,4.5553,293.1015,active
298,2913140,1,5,1.3686,0,6.1574,4.0812,293.1016,active
299,2936414,8,6,6.5011,1,11.9441,5.6186,293.168,active
300,2942174,6,3,127.7659,1,120.086,5.4867,293.0982,active
301,2967537,3,12,24.501,1,30.4714,3.5358,293.0655,active
302,2972748,7,7,22.5196,2,30.2336,4.5147,293.1273,active
303,2972848,7,14,136.2655,4,137.1865,2.107,293.1568,active
304,2982000,1,13,31.4405,2,39.059,4.9442,293.0932,active
305,2982160,1,12,58.2786,2,66.05,4.9199,293.051,active
306,2984927,6,7,0.8082,0,7.522,6.4339,293.0247,active
307,2987591,8,15,0.6799,0,7.9088,6.4761,293.0027,active
308,2998339,1,9,11.3629,1,15.3759,4.8938,293.0301,active
309,3010567,6,6,117.0185,6,131.272,6.2924,292.9833,active
310,3019377,2,5,35.352,2,36.0615,2.1297,292.9963,active
311,3023066,6,14,8.5487,1,13.9185,5.9772,293.0322,active
312,3029051,5,4,2.2448,0,7.4014,5.5963,293.0747,active
313,3031802,1,14,12.0624,1,19.9178,7.627,293.0312,active
314,3057275,6,3,3.0231,0,8.0897,5.4867,293.0953,active
315,3082980,8,12,141.2028,5,126.2867,4.7234,293.1119,active
316,3084652,7,4,29.2416,1,39.1365,5.8039,293.0981,active
317,3094122,1,13,4.9267,0,9.9411,4.9442,293.1378,active
318,3103306,2,13,4.527,0,9.6101,5.9565,293.0814,active
319,3113318,2,11,12.7014,1,17.5147,6.0334,293.0403,active
320,3133592,4,15,7.3859,1,10.4791,3.4458,293.1298,active
321,3141349,2,8,0.225,0,3.115,2.8415,293.2101,active
322,3168512,7,13,34.6037,3,45.5903,6.7086,293.2346,active
323,3168672,7,8,27.9918,2,39.0992,7.7974,293.1575,active
324,3181612,7,0,8.0988,1,11.7535,3.7187,293.1814,active
325,3190549,2,6,11.7623,2,20.6748,6.9578,293.1543,active
326,3193923,1,0,139.2667,2,153.1441,2.6204,293.2359,active
327,3194248,8,10,45.6003,3,45.2078,5.9116,293.3068,active
328,3195721,3,2,0.1414,0,3.3527,3.3813,293.3161,active
329,3197374,6,5,10.3788,1,14.9749,6.8247,293.3327,active
330,3226062,8,13,7.0715,1,10.0151,3.487,293.3445,active
331,3239855,1,11,7.3977,1,11.7845,2.4964,293.386,active
332,3240924,1,5,60.3479,1,73.5292,4.0812,293.416,active
333,3243559,1,8,39.5895,1,42.972,7.7514,293.406,active
334,3274323,2,9,10.7011,1,14.6051,5.3242,293.4075,active
335,3279502,1,5,21.4802,1,28.4657,4.0812,293.3684,active
336,3302309,7,11,3.3099,0,10.4038,6.8262,293.3696,active
337,3304501,5,2,112.0167,3,116.6788,2.9197,293.3663,active
338,3308095,8,6,20.6552,1,25.6143,5.6186,293.3169,active
339,3320608,7,4,10.1482,1,17.2498,5.8039,293.2997,active
340,3324920,8,10,2.2927,0,8.181,5.9116,293.2944,active
341,3333863,2,10,4.5231,0,6.4336,2.6515,293.2875,active
342,3342210,3,12,18.5029,1,23.1786,3.5358,293.2593,active
343,3347529,7,5,13.9344,1,16.3883,2.6354,293.2268,active
344,3356423,2,3,1.6375,0,6.8363,5.124,293.2053,active
345,3370126,1,0,10.6441,1,13.5396,2.6204,293.2726,active
346,3376987,6,13,9.5949,1,14.1749,4.9315,293.246,active
347,3381598,7,5,11.6543,1,15.3148,2.6354,293.3286,active
348,3402149,8,12,19.4894,2,21.192,4.7234,293.41,active
349,3409150,8,5,5.7199,1,12.293,7.2064,293.3297,active
350,3410963,1,5,26.9091,1,34.7219,4.0812,293.4424,active
351,3424472,7,3,40.2801,3,50.8256,5.3312,293.4717,active
352,3425691,7,12,27.4987,1,29.354,4.8043,293.4733,active
353,3426229,6,4,4.7113,0,7.2252,3.1987,293.472,active
354,3427276,7,4,60.3693,3,73.0742,5.8039,293.4056,active
355,3438547,7,11,67.4933,2,70.3193,6.8262,293.3802,active
356,3471543,4,8,97.8622,7,102.8551,6.6321,293.4582,active
357,3494485,1,11,5.13,1,7.7224,2.4964,293.377,active
358,3530677,4,1,52.3208,2,54.6983,7.9543,293.3702,active
359,3532516,2,15,125.8922,3,150.7298,6.6119,293.4601,active
360,3542999,1,3,20.2873,1,28.5962,7.5507,293.4619,active
361,3544229,1,1,0.9831,0,6.7687,5.5259,293.4451,active
362,3551090,6,1,21.6822,3,26.4142,5.038,293.389,active
363,3553809,5,4,28.5258,1,30.0795,5.5963,293.3198,active
364,3559740,5,6,11.7362,1,14.0015,3.1786,293.3102,active
365,3562362,6,1,7.9357,1,12.7453,5.038,293.2699,active
366,3584141,5,9,3.0613,0,11.0092,7.831,293.2873,active
367,3604938,6,9,6.2362,1,8.6919,2.7425,293.3382,active
368,3611688,1,12,17.5313,1,23.6115,4.9199,293.4143,active
369,3654261,7,0,10.8191,1,14.3961,3.7187,293.3663,active
370,3657140,4,1,19.1601,1,26.2939,7.9543,293.3659,active
371,3658103,2,3,109.6221,5,119.7974,5.124,293.442,active
372,3663424,7,7,3.9799,0,9.1065,4.5147,293.5017,active
373,3672008,6,9,2.5024,0,4.8369,2.7425,293.4867,active
374,3672162,1,3,0.1,0,7.9062,7.5507,293.5017,active
375,3674349,2,5,3.6884,0,5.9226,2.1297,293.5107,active
376,3681651,1,8,0.9885,0,8.3303,7.7514,293.4869,active
377,3705327,3,8,0.5616,0,4.2123,3.9028,293.4187,active
378,3721290,1,8,7.7196,1,14.3351,7.7514,293.5214,active
379,3751334,6,10,5.7007,1,13.5054,7.5654,293.5073,active
380,3751434,5,12,108.3927,4,104.3657,2.0836,293.4741,active
381,3769165,8,13,21.0327,3,24.2494,3.487,293.4395,active
382,3777658,6,15,90.3521,4,101.7825,7.7337,293.4474,active
383,3782228,5,6,123.3038,3,115.4917,3.1786,293.4302,active
384,3795244,5,5,58.5308,2,64.5503,7.2474,293.3795,active
385,3814015,1,4,5.9327,1,10.3723,5.4864,293.3486,active
386,3817769,1,5,133.5202,6,156.2602,4.0812,293.3562,active
387,3828883,5,8,7.6381,2,15.1877,6.6644,293.2835,active
388,3829453,1,9,89.152,2,92.5243,4.8938,293.1962,active
389,3830917,1,1,19.7173,1,24.7027,5.5259,293.2217,active
390,3842514,2,15,3.3186,0,10.6063,6.6119,293.1942,active
391,3848315,8,0,42.6219,1,46.8799,6.9766,293.2473,active
392,3849494,4,6,9.822,1,16.217,5.1132,293.1719,active
393,3854123,6,7,90.6191,5,95.9914,6.4339,293.1688,active
394,3858000,4,5,20.7661,1,28.3201,7.3607,293.1183,active
395,3871458,2,3,26.268,2,31.2598,5.124,293.132,active
396,3887931,3,8,50.0144,2,53.9494,3.9028,293.1791,active
397,3895460,1,0,6.365,1,9.2584,2.6204,293.1831,active
398,3901519,7,11,59.6826,1,62.1619,6.8262,293.2032,active
399,3935622,2,10,3.867,0,7.254,2.6515,293.1672,active
400,3944000,4,12,27.4174,1,35.7156,6.4807,293.1628,active
401,3952287,8,13,46.0998,3,48.9945,3.487,293.2352,active
402,3958145,5,14,14.7019,1,18.3299,2.7909,293.1901,active
403,3960768,4,2,36.0147,1,40.2732,7.3501,293.2245,active
404,3974227,5,13,67.4827,3,74.4268,3.3779,293.2307,active
405,3990152,7,9,119.9809,3,133.5245,5.5763,293.2952,active
406,3994930,3,1,0.1,0,7.1069,7.4961,293.2984,active
407,4002770,6,15,34.1808,2,43.6952,7.7337,293.3276,active
408,4008963,7,12,0.672,0,5.3161,4.8043,293.3807,active
409,4011512,5,4,19.0837,1,22.3791,5.5963,293.3894,active
410,4012229,4,14,5.4417,1,13.6513,7.6209,293.3518,active
411,4015607,2,11,7.7229,1,13.8043,6.0334,293.312,active
412,4030865,2,7,3.9209,0,11.5847,7.377,293.3259,active
413,4033123,8,2,16.9331,1,18.3631,3.3958,293.269,active
414,4038869,5,11,2.4566,0,5.3078,2.8634,293.1512,active
415,4039706,3,14,9.6908,1,12.5536,2.9876,293.1974,active
